Rank,Group Name,Country,Statement,Assets(mn)
1 ,KfW,Germany,30 ,534429 
2 ,Zürcher  Kantonalbank,Switzerland,30 ,155222 
3 ,Landwirtschaftliche Rentenbank,Germany,30 ,100185 
4 ,L-Bank,Germany,30 ,79010 
5 ,Bank Nederlandse Gemeenten,Netherlands,29 ,162327 
6 ,Nederlandse Waterschapsbank,Netherlands,29 ,109063 
7 ,NRW.BANK,Germany,26 ,148105 
8 ,Banque et Caisse d’Épargne de l’État,Luxembourg,25 ,50058 
9 ,Caisse des Dépôts et Consignations,France,24 ,175428 
10 ,DZ Bank,Germany,23 ,536995 
11 ,DBS,Singapore,23 ,332967 
12 ,Svenska Handelsbanken,Sweden,23 ,289949 
13 ,Oversea-Chinese Banking Corp,Singapore,23 ,283402 
14 ,United Overseas Bank,Singapore,23 ,235102 
15 ,Korea Development Bank,South Korea,23 ,225766 
16 ,Export-Import Bank of Korea,South Korea,23 ,74820 
17 ,Banque Cantonale Vaudoise,Switzerland,23 ,45932 
18 ,Deutsche Apotheker- und Ärztebank,Germany,23 ,40661 
19 ,TD Bank,Canada,22 ,878137 
20 ,Industrial Bank of Korea,South Korea,22 ,212537 
21 ,SFIL (formerly Société de financement local),France,22 ,83708 
22 ,Pictet & Cie,Switzerland,22 ,34092 
23 ,Royal Bank of Canada,Canada,21 ,880592 
24 ,Rabobank,Netherlands,21 ,698422 
25 ,ANZ Group,Australia,21 ,698054 
26 ,Commonwealth Bank of Australia,Australia,21 ,692914 
27 ,Nordea,Sweden,21 ,648950 
28 ,Westpac,Australia,21 ,640319 
29 ,National Australia Bank,Australia,21 ,593333 
30 ,Swedbank,Sweden,21 ,237713 
31 ,First Abu Dhabi Bank,UAE,21 ,185799 
32 ,Hang Seng Bank,Hong Kong,21 ,177617 
33 ,AgriBank,United States,21 ,102563 
34 ,Fédération des Caisses Desjardins,Canada,21 ,100289 
35 ,Sparkassen-Finanzgruppe (Sparkassen),Germany,20 ,1246015 
36 ,U.S. Bancorp,United States,20 ,445964 
37 ,SEB,Sweden,20 ,289184 
38 ,DNB,Norway,20 ,281136 
39 ,HSBC France,France,20 ,178584 
40 ,CoBank,United States,20 ,126131 
41 ,National Bank of Kuwait,Kuwait,20 ,79073 
42 ,OP Corporate Bank,Finland,20 ,65256 
43 ,AgFirst,United States,20 ,32058 
44 ,LGT Bank,Liechtenstein,20 ,29079 
45 ,Farm Credit Bank of Texas,United States,20 ,21222 
46 ,Bank für Sozialwirtschaft,Germany,20 ,8982 
47 ,China Development Bank Corporation,China,19 ,1943930 
48 ,Scotiabank,Canada,19 ,668706 
49 ,Agricultural Development Bank of China,China,19 ,644401 
50 ,Bank of Montreal,Canada,19 ,513269 
