Rank,Group Name,Country,Score,Assets(mn)
1 ,KfW,Germany,30 ,556424 
0 ,Zuercher Kantonalbank,Switzerland,30 ,172671 
3 ,BNG Bank,Netherlands,30 ,157503 
4 ,Landwirtschaftliche Rentenbank,Germany,30 ,103113 
5 ,Landeskreditbank Baden-Wuerttemberg (L-Bank),Germany,30 ,79692 
6 ,Nederlandse Waterschapsbank,Netherlands,29 ,86576 
7 ,Kommunalbanken,Norway,29 ,48583 
8 ,NRW.BANK,Germany,26 ,169165 
9 ,Swedish Export Credit Corp.,Sweden,26 ,31623 
10 ,Banque et Caisse d’Epargne de l’Etat,France,25 ,52566 
11 ,Caisse des Depots et Consignations,Canada,24 ,207623 
12 ,Royal Bank of Canada,Canada,23 ,1021770 
13 ,TD Bank,Canada,23 ,1005270 
14 ,DZ Bank,Germany,23 ,594157 
15 ,DBS Bank,Singapore,23 ,402439 
16 ,Oversea-Chinese Banking Corp.,Singapore,23 ,341646 
17 ,Svenska Handelsbanken,Sweden,23 ,331978 
18 ,United Overseas Bank,Singapore,23 ,283590 
19 ,Korea Development Bank,South Korea,23 ,231942 
20 ,Export-Import Bank of Korea,South Korea,23 ,80591 
21 ,Deutsche Apotheker- und Aerztebank,Germany,23 ,51961 
22 ,Banque Cantonale Vaudoise,Switzerland,23 ,48551 
23 ,Industrial Bank of Korea,South Korea,22 ,258191 
24 ,Swedbank,Sweden,22 ,250461 
25 ,DNB Bank,Norway,22 ,256383 
26 ,SFIL,France,22 ,76257 
27 ,Banque Pictet & Cie,Switzerland,22 ,29780 
28 ,Bank of Nova Scotia,Canada,21 ,759772 
29 ,ANZ Banking Group,Australia,21 ,694368 
30 ,Commonwealth Bank of Australia,Australia,21 ,682915 
31 ,Nordea Bank,Finland,21 ,631583 
32 ,Westpac,Australia,21 ,619905 
33 ,Bank of Montreal,Canada,21 ,617358 
34 ,National Australia Bank,Australia,21 ,569267 
35 ,Canadian Imperial Bank of Commerce,Canada,21 ,454684 
36 ,SEB,Sweden,21 ,286202 
37 ,HSBC France,Canada,21 ,207256 
38 ,First Abu Dhabi Bank,UAE,21 ,202585 
39 ,Hang Seng Bank,Hong Kong,21 ,200666 
40 ,"Federation des Caisses Desjardins
			du Quebec",Canada,21 ,115505 
41 ,Agribank,United States,21 ,109772 
42 ,Sparkassen-Finanzgruppe (Sparkassen),Germany,20 ,1438067 
43 ,UBS,Switzerland,20 ,958055 
44 ,Rabobank,,20 ,676287 
45 ,CoBank,United States,20 ,139016 
46 ,National Bank of Kuwait,Kuwait,20 ,90327 
47 ,OP Corporate Bank,Finland,20 ,72742 
48 ,AgFirst,United States,20 ,33078 
49 ,Farm Credit Bank of Texas,United States,20 ,24529 
50 ,BNP Paribas,France,19 ,2337575 
