Rank,Group Name,Country,Score,Assets
1,KfW,Germany,30,
2,Zuercher Kantonalbank,Switzerland,30,
3,BNG Bank,Netherlands,30,
4,Landwirtschaftliche Rentenbank,Germany,30,
5,Nederlandse Waterschapsbank,Netherlands,29,
6,L-Bank,Germany,29,
7,Kommunalbanken,Norway,29,
8,NRW.BANK,Germany,27,
9,Swedish Export Credit Corporation,Sweden,26,
10,Caisse des Depots et Consignations,France,24,
11,DBS Bank,Singapore,23,
12,Oversea-Chinese Banking Corp,Singapore,23,
13,Svenska Handelsbanken,Sweden,23,
14,United Overseas Bank,Singapore,23,
15,Korea Development Bank,South Korea,23,
16,Export-Import Bank of Korea,South Korea,23,
17,Banque et Caisse d'Epargne de l'Etat,Luxembourg,23,
18,Banque Cantonale Vaudoise,Switzerland,23,
19,Toronto-Dominion Bank,Canada,22,
20,Royal Bank of Canada,Canada,22,
21,DZ Bank,Germany,22,
22,Industrial Bank of Korea,South Korea,22,
23,Deutsche Apotheker- und Aerztebank,Germany,22,
24,DNB Bank,Norway,21.5,
25,SFIL,France,21.5,
26,Banque Pictet & Cie,Switzerland,21.5,
27,Bank of Nova Scotia,Canada,21,
28,Bank of Montreal,Canada,21,
29,Nordea Bank,Finland,21,
30,Canadian Imperial Bank of Commerce,Canada,21,
31,SEB,Sweden,21,
32,First Abu Dhabi Bank,UAE,21,
33,Hang Seng Bank,Hong Kong,21,
34,Federation des caisses Desjardins du Quebec,Canada,21,
35,AgriBank,United States,21,
36,Sparkassen-Finanzgruppe,Germany,20,
37,UBS,Switzerland,20,
38,Commonwealth Bank of Australia,Australia,20,
39,ANZ Group,Australia,20,
40,Rabobank,Netherlands,20,
41,Westpac,Australia,20,
42,National Australia Bank,Australia,20,
43,Bank of Taiwan,Taiwan,20,
44,CoBank,United States,20,
45,OP Coporate Bank,Finland,20,
46,AgFirst,United States,20,
47,Farm Credit Bank of Texas,United States,20,
48,BNP Paribas,France,19,
49,Credit Agricole,France,19,
50,Swedbank,Sweden,19,
